date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:30:28	10722/10722	---M--	200	added ('OK')	text/html	date:Fri,%2028%20Aug%202009%2013:30:33%20GMT	http://www.harvesting-evidence.org/	/mnt/dano.trans/MarcoClementi/websites/Harvesting_Evidence%20offline/HARVESTING_EVIDENCE_ORG/INDEX.HTM	(from )
15:30:29	5270/5270	---M--	200	added ('OK')	text/css	etag:%228fc539-1496-4699ef326d400%22	http://www.harvesting-evidence.org/typo3temp/stylesheet_8192c2092f.css	/mnt/dano.trans/MarcoClementi/websites/Harvesting_Evidence%20offline/HARVESTING_EVIDENCE_ORG/TYPO3TEMP/STYLESHEET_8192C2092F.CSS	(from )
15:30:29	1103/1103	---M--	200	added ('OK')	text/css	etag:%22988855-44f-46a53f0492d40%22	http://www.harvesting-evidence.org/fileadmin/template/css/custom/base.css	/mnt/dano.trans/MarcoClementi/websites/Harvesting_Evidence%20offline/HARVESTING_EVIDENCE_ORG/FILEADMIN/TEMPLATE/CSS/CUSTOM/BASE.CSS	(from )
15:30:29	7770/7770	---M--	200	added ('OK')	text/css	etag:%22988862-1e5a-46ea9a2e09c00%22	http://www.harvesting-evidence.org/fileadmin/template/css/custom/layout.css	/mnt/dano.trans/MarcoClementi/websites/Harvesting_Evidence%20offline/HARVESTING_EVIDENCE_ORG/FILEADMIN/TEMPLATE/CSS/CUSTOM/LAYOUT.CSS	(from )
15:30:29	26301/26301	---M--	200	added ('OK')	text/css	etag:%2298885d-66bd-46f49f43125c0%22	http://www.harvesting-evidence.org/fileadmin/template/css/custom/content.css	/mnt/dano.trans/MarcoClementi/websites/Harvesting_Evidence%20offline/HARVESTING_EVIDENCE_ORG/FILEADMIN/TEMPLATE/CSS/CUSTOM/CONTENT.CSS	(from )
15:30:30	2673/2673	---M--	200	added ('OK')	text/css	etag:%2298884f-a71-46ea9a29450c0%22	http://www.harvesting-evidence.org/fileadmin/template/css/custom/home.css	/mnt/dano.trans/MarcoClementi/websites/Harvesting_Evidence%20offline/HARVESTING_EVIDENCE_ORG/FILEADMIN/TEMPLATE/CSS/CUSTOM/HOME.CSS	(from )
15:30:30	2112/2112	---M--	200	added ('OK')	text/css	etag:%22988852-840-46d28d41359c0%22	http://www.harvesting-evidence.org/fileadmin/template/css/custom/print.css	/mnt/dano.trans/MarcoClementi/websites/Harvesting_Evidence%20offline/HARVESTING_EVIDENCE_ORG/FILEADMIN/TEMPLATE/CSS/CUSTOM/PRINT.CSS	(from )
15:30:32	1568/1568	---M--	200	added ('OK')	text/xml	date:Fri,%2028%20Aug%202009%2013:30:36%20GMT	http://www.harvesting-evidence.org/index.php?id=0&type=100	/mnt/dano.trans/MarcoClementi/websites/Harvesting_Evidence%20offline/HARVESTING_EVIDENCE_ORG/INDEXD3C3.PHP	(from )
15:30:33	2654/2654	---M--	200	added ('OK')	application/javascript	etag:%2298a0e5-a5e-4639a458fad80%22	http://www.harvesting-evidence.org/typo3/contrib/scriptaculous/scriptaculous.js?load=effects,builder	/mnt/dano.trans/MarcoClementi/websites/Harvesting_Evidence%20offline/HARVESTING_EVIDENCE_ORG/TYPO3/CONTRIB/SCRIPTACULOUS/SCRIPTACULOUSB395.JS	(from )
15:30:33	950/950	---M--	200	added ('OK')	application/javascript	etag:%228fc53a-3b6-4699ef326d400%22	http://www.harvesting-evidence.org/typo3temp/javascript_a79086632c.js	/mnt/dano.trans/MarcoClementi/websites/Harvesting_Evidence%20offline/HARVESTING_EVIDENCE_ORG/TYPO3TEMP/JAVASCRIPT_A79086632C.JS	(from )
15:30:34	4183/4183	---M--	200	added ('OK')	image/gif	etag:%229888f7-1057-46d28d1b0ffc0%22	http://www.harvesting-evidence.org/fileadmin/template/images/logo.gif	/mnt/dano.trans/MarcoClementi/websites/Harvesting_Evidence%20offline/HARVESTING_EVIDENCE_ORG/FILEADMIN/TEMPLATE/IMAGES/LOGO.GIF	(from )
